n,steps,method,localSize,time
128,10,CPU,-,0.000287359
256,10,CPU,-,0.00112401
512,10,CPU,-,0.00447256
1024,10,CPU,-,0.0178541
2048,10,CPU,-,0.0708507
4096,10,CPU,-,0.283953
128,100,CPU,-,0.00280864
256,100,CPU,-,0.0127251
512,100,CPU,-,0.0442172
1024,100,CPU,-,0.176993
2048,100,CPU,-,0.705696
4096,100,CPU,-,2.82139
128,1000,CPU,-,0.0270856
256,1000,CPU,-,0.110082
512,1000,CPU,-,0.436335
1024,1000,CPU,-,1.7556
2048,1000,CPU,-,6.94189
4096,1000,CPU,-,27.6112
128,10,kernel_1_global-memory_1D.ptx,32,0.198798
128,10,kernel_1_global-memory_1D.ptx,64,0.0907416
128,10,kernel_1_global-memory_1D.ptx,70,0.0919346
128,10,kernel_1_global-memory_1D.ptx,96,0.0898207
128,10,kernel_1_global-memory_1D.ptx,100,0.0889993
128,10,kernel_1_global-memory_1D.ptx,128,0.0901078
256,10,kernel_1_global-memory_1D.ptx,32,0.0881751
256,10,kernel_1_global-memory_1D.ptx,64,0.0893741
256,10,kernel_1_global-memory_1D.ptx,70,0.086653
256,10,kernel_1_global-memory_1D.ptx,96,0.090045
256,10,kernel_1_global-memory_1D.ptx,100,0.0890728
256,10,kernel_1_global-memory_1D.ptx,128,0.0875242
512,10,kernel_1_global-memory_1D.ptx,32,0.0902672
512,10,kernel_1_global-memory_1D.ptx,64,0.0897584
512,10,kernel_1_global-memory_1D.ptx,70,0.0903368
512,10,kernel_1_global-memory_1D.ptx,96,0.089051
512,10,kernel_1_global-memory_1D.ptx,100,0.0900577
512,10,kernel_1_global-memory_1D.ptx,128,0.0892237
1024,10,kernel_1_global-memory_1D.ptx,32,0.0918356
1024,10,kernel_1_global-memory_1D.ptx,64,0.0912336
1024,10,kernel_1_global-memory_1D.ptx,70,0.0894635
1024,10,kernel_1_global-memory_1D.ptx,96,0.0900872
1024,10,kernel_1_global-memory_1D.ptx,100,0.0907349
1024,10,kernel_1_global-memory_1D.ptx,128,0.0919232
2048,10,kernel_1_global-memory_1D.ptx,32,0.0902133
2048,10,kernel_1_global-memory_1D.ptx,64,0.0919201
2048,10,kernel_1_global-memory_1D.ptx,70,0.0906224
2048,10,kernel_1_global-memory_1D.ptx,96,0.0914855
2048,10,kernel_1_global-memory_1D.ptx,100,0.0909896
2048,10,kernel_1_global-memory_1D.ptx,128,0.0911129
4096,10,kernel_1_global-memory_1D.ptx,32,0.0960269
4096,10,kernel_1_global-memory_1D.ptx,64,0.0941011
4096,10,kernel_1_global-memory_1D.ptx,70,0.0956223
4096,10,kernel_1_global-memory_1D.ptx,96,0.093567
4096,10,kernel_1_global-memory_1D.ptx,100,0.0959628
4096,10,kernel_1_global-memory_1D.ptx,128,0.0906424
128,100,kernel_1_global-memory_1D.ptx,32,0.0890917
128,100,kernel_1_global-memory_1D.ptx,64,0.0901904
128,100,kernel_1_global-memory_1D.ptx,70,0.0898165
128,100,kernel_1_global-memory_1D.ptx,96,0.090224
128,100,kernel_1_global-memory_1D.ptx,100,0.089902
128,100,kernel_1_global-memory_1D.ptx,128,0.0913611
256,100,kernel_1_global-memory_1D.ptx,32,0.0908008
256,100,kernel_1_global-memory_1D.ptx,64,0.0928033
256,100,kernel_1_global-memory_1D.ptx,70,0.0912338
256,100,kernel_1_global-memory_1D.ptx,96,0.0924212
256,100,kernel_1_global-memory_1D.ptx,100,0.0932739
256,100,kernel_1_global-memory_1D.ptx,128,0.0935913
512,100,kernel_1_global-memory_1D.ptx,32,0.0969785
512,100,kernel_1_global-memory_1D.ptx,64,0.0971298
512,100,kernel_1_global-memory_1D.ptx,70,0.096041
512,100,kernel_1_global-memory_1D.ptx,96,0.0973705
512,100,kernel_1_global-memory_1D.ptx,100,0.0967289
512,100,kernel_1_global-memory_1D.ptx,128,0.0988691
1024,100,kernel_1_global-memory_1D.ptx,32,0.106164
1024,100,kernel_1_global-memory_1D.ptx,64,0.105848
1024,100,kernel_1_global-memory_1D.ptx,70,0.105614
1024,100,kernel_1_global-memory_1D.ptx,96,0.10557
1024,100,kernel_1_global-memory_1D.ptx,100,0.105968
1024,100,kernel_1_global-memory_1D.ptx,128,0.108146
2048,100,kernel_1_global-memory_1D.ptx,32,0.121793
2048,100,kernel_1_global-memory_1D.ptx,64,0.128474
2048,100,kernel_1_global-memory_1D.ptx,70,0.125903
2048,100,kernel_1_global-memory_1D.ptx,96,0.124665
2048,100,kernel_1_global-memory_1D.ptx,100,0.124037
2048,100,kernel_1_global-memory_1D.ptx,128,0.123122
4096,100,kernel_1_global-memory_1D.ptx,32,0.156673
4096,100,kernel_1_global-memory_1D.ptx,64,0.158151
4096,100,kernel_1_global-memory_1D.ptx,70,0.15728
4096,100,kernel_1_global-memory_1D.ptx,96,0.154852
4096,100,kernel_1_global-memory_1D.ptx,100,0.161213
4096,100,kernel_1_global-memory_1D.ptx,128,0.158865
128,1000,kernel_1_global-memory_1D.ptx,32,0.117266
128,1000,kernel_1_global-memory_1D.ptx,64,0.114634
128,1000,kernel_1_global-memory_1D.ptx,70,0.114334
128,1000,kernel_1_global-memory_1D.ptx,96,0.114229
