n,steps,method,localSize,time
128,10,CPU,-,0.0010543
256,10,CPU,-,0.0036239
512,10,CPU,-,0.0151634
1024,10,CPU,-,0.0590323
2048,10,CPU,-,0.234985
4096,10,CPU,-,0.946388
128,100,CPU,-,0.0090687
256,100,CPU,-,0.0370821
512,100,CPU,-,0.1624
1024,100,CPU,-,0.582508
2048,100,CPU,-,2.3212
4096,100,CPU,-,9.20941
128,1000,CPU,-,0.0933156
256,1000,CPU,-,0.35997
512,1000,CPU,-,1.46058
1024,1000,CPU,-,5.78333
2048,1000,CPU,-,23.203
4096,1000,CPU,-,92.4832
128,10,kernel.cl,32,0.156785
128,10,kernel.cl,64,0.0854208
128,10,kernel.cl,70,0.0758
128,10,kernel.cl,96,0.0827207
128,10,kernel.cl,100,0.0824753
128,10,kernel.cl,128,0.0776303
256,10,kernel.cl,32,0.0860449
256,10,kernel.cl,64,0.076596
256,10,kernel.cl,70,0.0846896
256,10,kernel.cl,96,0.0763491
256,10,kernel.cl,100,0.0827627
256,10,kernel.cl,128,0.0794763
512,10,kernel.cl,32,0.0825743
512,10,kernel.cl,64,0.0779235
512,10,kernel.cl,70,0.0829871
512,10,kernel.cl,96,0.0779465
512,10,kernel.cl,100,0.0874159
512,10,kernel.cl,128,0.075109
1024,10,kernel.cl,32,0.0828901
1024,10,kernel.cl,64,0.0768508
1024,10,kernel.cl,70,0.0814422
1024,10,kernel.cl,96,0.082009
1024,10,kernel.cl,100,0.0821545
1024,10,kernel.cl,128,0.0805443
2048,10,kernel.cl,32,0.0796862
2048,10,kernel.cl,64,0.0790207
2048,10,kernel.cl,70,0.0824303
2048,10,kernel.cl,96,0.0881441
2048,10,kernel.cl,100,0.0785149
2048,10,kernel.cl,128,0.0974158
4096,10,kernel.cl,32,0.0827475
4096,10,kernel.cl,64,0.08185
4096,10,kernel.cl,70,0.0796683
4096,10,kernel.cl,96,0.0808241
4096,10,kernel.cl,100,0.0787829
4096,10,kernel.cl,128,0.0797421
128,100,kernel.cl,32,0.084642
128,100,kernel.cl,64,0.0784537
128,100,kernel.cl,70,0.0826612
128,100,kernel.cl,96,0.0774772
128,100,kernel.cl,100,0.0798677
128,100,kernel.cl,128,0.0781016
256,100,kernel.cl,32,0.0765964
256,100,kernel.cl,64,0.077242
256,100,kernel.cl,70,0.0782426
256,100,kernel.cl,96,0.0763928
256,100,kernel.cl,100,0.0834872
256,100,kernel.cl,128,0.0764412
512,100,kernel.cl,32,0.0838183
512,100,kernel.cl,64,0.0796393
512,100,kernel.cl,70,0.0791563
512,100,kernel.cl,96,0.086572
512,100,kernel.cl,100,0.0778948
512,100,kernel.cl,128,0.0784201
1024,100,kernel.cl,32,0.0982189
1024,100,kernel.cl,64,0.0888527
1024,100,kernel.cl,70,0.0842758
1024,100,kernel.cl,96,0.0851025
1024,100,kernel.cl,100,0.0856197
1024,100,kernel.cl,128,0.0869612
2048,100,kernel.cl,32,0.0913936
2048,100,kernel.cl,64,0.0888498
2048,100,kernel.cl,70,0.0898182
2048,100,kernel.cl,96,0.0884709
2048,100,kernel.cl,100,0.0949989
2048,100,kernel.cl,128,0.104036
4096,100,kernel.cl,32,0.105496
4096,100,kernel.cl,64,0.111961
4096,100,kernel.cl,70,0.111826
4096,100,kernel.cl,96,0.109929
4096,100,kernel.cl,100,0.183518
4096,100,kernel.cl,128,0.107036
128,1000,kernel.cl,32,0.116084
128,1000,kernel.cl,64,0.107911
128,1000,kernel.cl,70,0.107359
128,1000,kernel.cl,96,0.110517
128,1000,kernel.cl,100,0.112579
128,1000,kernel.cl,128,0.103738
256,1000,kernel.cl,32,0.12049
256,1000,kernel.cl,64,0.123484
256,1000,kernel.cl,70,0.122218
256,1000,kernel.cl,96,0.119977
256,1000,kernel.cl,100,0.119317
256,1000,kernel.cl,128,0.116055
512,1000,kernel.cl,32,0.134458
512,1000,kernel.cl,64,0.13431
512,1000,kernel.cl,70,0.140781
512,1000,kernel.cl,96,0.141449
512,1000,kernel.cl,100,0.150269
512,1000,kernel.cl,128,0.132956
1024,1000,kernel.cl,32,0.176031
1024,1000,kernel.cl,64,0.178754
1024,1000,kernel.cl,70,0.172142
1024,1000,kernel.cl,96,0.163823
1024,1000,kernel.cl,100,0.157155
1024,1000,kernel.cl,128,0.154091
2048,1000,kernel.cl,32,0.203905
2048,1000,kernel.cl,64,0.212581
2048,1000,kernel.cl,70,0.275919
2048,1000,kernel.cl,96,0.207309
2048,1000,kernel.cl,100,0.207274
2048,1000,kernel.cl,128,0.209676
4096,1000,kernel.cl,32,0.317843
4096,1000,kernel.cl,64,0.324481
4096,1000,kernel.cl,70,0.38632
4096,1000,kernel.cl,96,0.320478
4096,1000,kernel.cl,100,0.342747
4096,1000,kernel.cl,128,0.329465
128,10,kernel_2d.cl,32,0.0794322
128,10,kernel_2d.cl,64,0.075023
128,10,kernel_2d.cl,70,0.071171
128,10,kernel_2d.cl,96,0.140483
128,10,kernel_2d.cl,100,0.0782215
128,10,kernel_2d.cl,128,0.0771597
256,10,kernel_2d.cl,32,0.0716077
256,10,kernel_2d.cl,64,0.0727361
